contentid,contenttypeid,heritage1,heritage2,heritage3,infocenter,opendate,restdate,expguide,expagerange,accomcount,useseason,usetime,parking,chkbabycarriage,chkpet,chkcreditcard
2877108,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4025046,38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2928431,38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4025351,38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2832361,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2875192,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2789664,12,0,0,0,031-871-8403,,연중무휴,,,,,08:00~24:00,가능,,,
2893523,14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2918592,38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2930532,38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4011930,38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2911924,38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2852867,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2841878,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2929184,38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
134223,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
125476,12,0,0,0,가평역 관광안내소 031-582-8830,,연중무휴,,,,,상시 개방,,,,
127001,12,0,0,0,파주시청 도시관리과 031-940-5384,1973년,연중무휴,,,,,상시 개방,가능,,,
2614388,12,0,0,0,파주시청 관광과 031-940-5196,,시설 별로 상이함,,,,,시설 별로 상이함,,,,
134725,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2569508,12,0,0,0,"DMZ 평화관광 매표소 031-954-0303
DMZ 평화관광 안내소 031-953-4744",,"매주 월요일 / 주중 공휴일 / 설·추석 당일※ DMZ 안보위현, 기상악화, 안전 확보 상황 발생 시 모든 일정 중단",,,,,홈페이지 참조,가능,없음,,
403808,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2864488,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2764968,12,0,0,0,파주시청 관광과 031-940-4363,,연중무휴,,,,,상시 개방,가능,없음,,없음
2918109,38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2854075,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3578075,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2911394,38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2925829,38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2830341,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
397695,32,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2875219,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4046458,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3307088,38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2951568,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2830309,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4025047,38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2912529,38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2914742,38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3307316,38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2570093,32,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2829922,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1870538,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2865477,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3307269,38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
128648,12,0,0,0,파주시청 문화예술과 031-940-5831,,,,,,,내부 개방 및 관람 별도 문의,,,,
2767425,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2911054,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2799611,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2811349,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4025096,38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2925041,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2830643,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
752431,12,0,0,0,031-955-1550,,※ 자세한 사항은 전화문의 요망,,,,,09:00~15:30※ 자세한 사항은 전화문의 요망,가능,,,
2569494,12,0,0,0,031-940-5831,,연중무휴,,,,,상시 개방,,없음,,없음
250277,12,0,0,0,파주시청 문화예술과 031-940-5831,,연중무휴,,,,,상시 개방,불가능,,,
611704,12,0,0,0,파주시청 관광과 031-940-4363,,업체 별로 상이함,,,,,업체 별로 상이함,가능,불가,,없음
129336,12,0,0,0,0507-1471-3601,,전화 문의,,,,,전화 문의,가능,없음,,없음
127679,12,1,0,0,031-941-4208,,"매주 월요일 (단, 정기휴일이 공휴일 및 대체공휴일과 겹칠 경우에는 개방하며, 그 다음의 첫 번째 비공휴일이 정기휴일임)",,,,,"[2월~5월] 09:00~18:00 (입장마감 17:00)<br>
[6월~8월] 09:00~18:30 (입장마감 17:30)<br>
[9월~10월] 09:00~18:00 (입장마감 17:00)<br>
[11월~1월] 09:00~17:30 (입장마감 16:30)",가능,,,
3543668,14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2819798,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
126988,12,0,0,0,파주시청 문화예술과 031-940-5831,,,,,,,10:00~17:00(입장 마감 16:00)※ 군사 지역으로 관람 시간 이외 출입 금지,,,,
125553,12,0,0,0,파주시청 문화예술과 031-940-5831,,연중무휴,,,,,상시 개방,가능,,,
2609813,12,0,0,0,파주시청 도시관리과 031-940-5383,,연중무휴,,,,,상시 개방,가능,없음,,없음
127691,12,0,0,0,031-958-1749,,"매주 월요일<br> ※ 단, 월요일이 공휴일인 경우 그 다음날 휴관",,,,,"[3월~10월] 09:00~18:00 (입장마감 17:30)<br>
[11월~2월] 09:00~17:00 (입장마감 16:30)",가능 (버스 20대 / 승용차 100대),없음,,없음
127548,12,0,0,0,임진각관광안내소 031-953-4744,,※ 시설별 상이하므로 홈페이지 참고,,,,,※ 시설별 상이하므로 홈페이지 참고,가능,,,
129397,12,0,0,0,031-953-7600,,명절 (전화문의),"[계절프로그램]
- 장단콩 꼬마장승제(2월~3월) : 장단콩꼬마장승제 / 지신밟기
- 농촌체험축제(7월~8월) : 콩밭메기 / 멧돌체험 / 장맛보기
- 추수행사(10월~11월) : 장단콩축제 / 과수따기
- 저장축제(12월~1월) : 장담그기 / 김장 / 전통문화(짚신·삼태기)배우기 / 눈썰매대회
※ 프로그램 문의(031-952-9001) / 요금 홈페이지 참조",,,,11:00 ~ 17:00 (전화문의),가능,없음,,
250410,12,1,0,0,031-945-9242,,"매주 월요일<br>※ 단, 월요일이 공휴일인 경우 개방하며, 그 다음 첫 번째 평일에 휴관",,,,,"[2월~5월] 09:00~18:00 (입장마감 17:00)<br>
[6월~8월] 09:00~18:30 (입장마감 17:30)<br>
[9~10월] 09:00~18:00 (입장마감 17:00)<br>
[11월~1월] 09:00~17:30 (입장마감 16:30)",가능,불가,,
560481,12,0,0,0,031-955-0050,,시설 별로 상이,,,,,시설 별로 상이,가능,,,
3494053,15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3409010,12,0,0,0,"혜음원지 방문자센터 031-950-8428, 8429",,[혜음원지] 연중무휴[혜음원지 방문자센터] 매주 월요일 / 법정 공휴일,,,,,[혜음원지] 상시 개방[혜음원지 방문자센터] 09:00~18:00,가능,,,
3031866,12,0,0,0,0507-1430-9106,,연중무휴,,,,,06:00~19:00,가능,,,
2418592,32,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2764875,14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
613661,14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3033864,12,0,0,0,031-940-8777,,"매달 첫째 월요일(단, 월요일이 법정공휴일인 경우 그 다음날 휴관) / 1월 1일 / 설∙추석 당일 / 시설물 유지·보수 및 전시 행사를 위한 휴관일",,,,,10:00~19:00 (입장 마감 17:00),가능,,,
2836130,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2764988,14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3084393,32,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
129872,14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2904550,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2868498,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2961451,15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3081629,14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3014112,12,0,0,0,0507-1308-2663,,매주 일요일~월요일 / 법정공휴일,일일 별자리 체험 / 가족과 함께하는 우주여행 등,,,,14:30~23:00 (휴게시간 17:00~18:00),가능,,,
2724661,12,0,0,0,031-952-6388,,국가 안전점검일 / 분기별 안전점검일※ 자세한 사항은 홈페이지 참조,,,,,09:00~18:00 (입장 마감 17:30),가능,없음,,
2569506,12,0,0,0,파주시청 관광과 031-940-4363,,연중무휴,,,,,상시 개방,가능,,,
2906471,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2911414,12,0,0,0,031-943-2662,,,,,,,(로컬푸드) 10:00~18:00-명절당일 휴무 / (카페) 11:00~20:00-월요일 휴무 / (식당) 11:30~20:00-월요일 휴무,,,,
130824,14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2738720,12,0,0,0,파주시청 도시관리과 031-940-8703,,연중무휴,,,,,상시 개방,가능,,,
2746709,12,0,0,0,031-942-1533,,연중무휴,동물먹이주기체험,,,,"- 평일 10:30~18:00<br>
- 주말 10:30~20:00",가능,,,가능
1624842,12,0,0,0,031-953-3182,,연중무휴,,,,,상시 개방,가능,없음,,
2736414,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2894560,38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2894591,38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
127682,12,0,0,0,파주시청 문화예술과 031-940-5830,,연중무휴,,,,,상시 개방,가능,,,
3018278,12,0,0,0,파주시청 체육과 031-940-5235,,연중무휴,,,,,[공원]상시 개방[인조잔디축구장]06:00~22:00,가능,,,
125579,12,0,0,0,1588-8889,,매주 월요일 / 목요일 / 일요일 / 유엔사의 휴무일 / 군사훈련 및 작전 기간중에는 미운영,판문점 견학,만 8세 이상의 대한민국 국민 (외국인 견학 미운영),최대 5명,,"매주 화요일 / 수요일 / 금요일 / 토요일 14:10~17:00<br>
※ 실제 운영시간은 상황에 따라 변경 가능",가능,없음,,없음
2836663,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2867774,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2830128,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3013790,12,0,0,0,남양주시청 하천공원관리과 031-590-8636,,연중무휴,,,,,상시 개방,가능,,,
2865007,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2845766,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2867787,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2766617,12,0,0,0,남양주시청 문화관광팀 031-590-5382,,연중무휴,,,,,상시 개방,불가능,없음,,
3473573,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2926461,38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2907652,38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2867800,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2545307,12,0,0,0,0507-1304-6861,,연중무휴,동물먹이주기체험,만 5세 이상,,,10:00~22:00 (매표마감 21:00),,,,
2911036,32,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4011878,38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2911529,38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
133621,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4008115,38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
527497,32,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2762927,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3356066,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
133128,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1921646,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2830918,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2906479,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2583625,28,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
752389,12,0,0,0,031-953-4448,,연중무휴,,,,,"[하절기(4~10월)] <br>
- 평일 11:00~18:00 <br>- 주말 11:00~18:40<br>
[동절기(3,11월)] <br>
- 평일 11:00~17:30<br>- 주말 11:00~18:00<br>
[완전 동절기(12~2월)]<br>
- 평일 12:00~16:40<br>- 주말 11:00~18:00","가능 <br>요금 (임진각관광지 주차장 경차 1,000원 / 소형 2,000원 / 중형 3,000원 / 대형 5,000원)",,,
2654583,12,0,0,0,031-953-1626,,설·추석 연휴 / 매주 월요일,,,,,[10월~3월] 10:00~17:00[4월~9월] 10:00~18:00※ 폐장 30분 전 입장 마감,,,,
1209958,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3017861,28,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
736133,14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2867817,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2808016,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2832379,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2865458,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3085230,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2853666,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2878135,14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
798265,12,0,0,0,031-538-3361,,연중무휴,,,,,상시 개방,가능,,,
130684,14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2464238,12,0,0,0,0507-1425-9317,,설·추석 연휴,,,,,08:30~17:30,가능요금 (무료),없음,없음,
125523,12,0,0,0,031-540-6350,,연중무휴,,,,,상시 개방,가능,,,
623666,15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2569473,12,0,0,0,031-538-3129,,연중무휴,,,,,상시 개방,가능 <br>요금 (무료),없음,,없음
983901,32,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2032127,12,0,0,0,031-532-1881,,연중무휴,,전 연령,,,10:00~19:00,가능,없음,,
612915,12,0,0,0,포천시청 관광과 031-538-3370,,※ 매장 별로 상이함,,,,,※ 매장 별로 상이함,가능,,,가능
3352029,15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2570170,12,0,0,0,포천 한탄강지질공원 031-538-3030,,연중무휴,,,,,09:00~18:00※ 자세한 사항은 전화문의 요망,가능,없음,,
3536596,15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2545159,12,0,0,0,한탄강세계지질공원센터 031-538-3030,2018.5.13(일) 10:00 개통,연중무휴,,,,,09:00~18:00,가능,,,
3023048,12,0,0,0,1644-1997,,매주 수요일,허브물체험 / 향기체험 / 음악체험 / 허브차체험 / 촉감체험 / 허브건초체험 / 색깔체험 / 허브식물체험 / 숲체험 / 돌체험,"만 14세 이상 (일부 프로그램은 보호자 동반 시, 유아 및 초등학생도 이용 가능)","3,000명 이상",,"10:00~21:00<br>  
※ 계절에 따라 운영시간이 변동될 수 있음","가능 (1,000대)",,,
3011153,12,0,0,0,0507-1338-5614,,연중무휴,딸기 비누만들기 체험 / 딸기 테라피 체험 / 딸기 자일리톨캔디 만들기 체험 등,,,,09:00~19:00,,,,
2853651,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2665995,25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2802702,15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2853358,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3011177,12,0,0,0,포천관광정보센터 031-535-5068,,연중무휴,,,,,상시 개방,가능,,,
3008665,15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2464201,12,0,0,0,1668-1035,,매달 첫번째 화요일,,,,,"[하절기(3월~10월)]<br>
- 월요일~목요일 09:00~19:00 (입장 마감 18:00)<br>
- 금요일~토요일/공휴일 09:00~22:00 (입장 마감 20:00)<br>
- 일요일 09:00~20:00 (입장 마감 19:00)<br>
[동절기(11월~02월)]<br>
- 월요일~일요일 09:00~18:00 (입장 마감 17:00)",가능,,,
2648106,14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3011243,12,0,0,0,포천도시공사 031-540-6390,,연중무휴,,,,,"- 하절기(3월~10월) 05:00~23:00<br>
- 동절기(11월~2월) 06:00~23:00",가능,,,
3545306,15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3306452,38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2987543,25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3578524,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4008118,38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2894619,38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2904560,38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4010623,38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2917233,38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2910462,38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3306382,38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
