contentid,contenttypeid,title,createdtime,modifiedtime,tel,telname,homepage,firstimage,firstimage2,cpyrhtDivCd,areacode,sigungucode,lDongRegnCd,lDongSignguCd,lclsSystm1,lclsSystm2,lclsSystm3,cat1,cat2,cat3,addr1,addr2,zipcode,mapx,mapy,mlevel,overview
2832447,39,가림시골밥상,20220804113402,20250725135942,,,,http://tong.visitkorea.or.kr/cms/resource/46/2832446_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/46/2832446_image3_1.jpg,Type3,31,27,41,480,FD,FD01,FD010100,A05,A0502,A05020100,경기도 파주시 탄현면 새오리로 68,,10858,126.6858608619,37.7906479225,6,"경기도 파주시 프로방스 마을 부근에 있는 한정식 전문점이다. 성동리 마을회관 앞에 있어서 찾기 쉽다. 메뉴는 석쇠 소불고기정식, 꽃게장 정식, 가림 시골밥상 세 가지가 있다. 여러 가지 반찬이 제공되고 리필도 가능하다. 내부가 넓고 테이블도 많기 때문에 쾌적하고 깔끔한 분위기에서 여유 있는 식사를 즐길 수 있다. 연중무휴 영업하므로 운영 시간에만 맞추어 가면 언제든지 식사할 수 있지만 점심시간엔 대기가 필요하다."
2525533,39,가마골백숙,20171226190132,20251110172223,,,"<a href=""http://www.gamagoll.com/"" target=""_blank"" title=""새창: 동경주식회사 홈페이지로 이동"">http://www.gamagoll.com</a>",,,,31,18,41,630,FD,FD01,FD010100,A05,A0502,A05020100,경기도 양주시 장흥면 북한산로 1028,,11523,126.9712897230,37.7135870113,6,"가마골백숙은 전통의 맛을 그대로 살린 백숙전문점이다. 다양한 건강 식재료와 좋은 품질의 원료육을 사용하여 오랜 시간 끓여낸 깊은 맛의 닭, 오리백숙을 정식 스타일로 제공한다. 백숙종류로는 누룽지백숙, 녹두백숙, 오리능이백숙, 황제능이삼계탕, 들깨삼계탕, 삼계탕 등 다양하게 준비되어 있다. 넓은 룸을 갖추고 있어 가족식사, 회식 등 다양한 모임을 가지면서 식사를 하기에 좋다."
2855482,39,가배,20220919164725,20250623112030,,,,http://tong.visitkorea.or.kr/cms/resource/69/2855469_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/2855469_image3_1.jpg,Type3,31,18,41,630,FD,FD05,FD050100,A05,A0502,A05020900,경기도 양주시 장흥면 권율로 265-30,,11519,126.9518630226,37.7380227058,6,"경기도 양주시 장흥면에 있는 떡 전문 카페다. 떡 장인 이영희 님의  전통 떡 연구소가 있다. 벽이 자개장으로 장식되어 있어 고전적인 분위기가 난다. 실내에 테이블과 의자가 있고, 별도의 공간에 좌식 테이블이 있다. 테라스의 좌석에서는 자연을 바라보며 힐링할 수 있다.  떡볶이, 단팥죽, 호박죽, 구운 찰떡, 구운 가래떡, 식혜, 미숫가루, 생강차, 대추차, 쌍화차 등 떡 궁합 메뉴와 아메리카노 등 커피류, 피자, 비빔밥, 팥빙수, 아이스크림 등 식사와 디저트가 있다. 가족이 함께 방문하기 좋은 패밀리 카페이다. 장흥관광지에 있다. 가까이에 미술관 옆 캠핑장이 있다."
2922967,39,가비가배,20221128093944,20250117104307,,,"<a href=""http://instagram.com/gabigabae""target=""_blank"" title=""새창 : 가비가배 사이트로 이동"">http://instagram.com/gabigabae</a>",http://tong.visitkorea.or.kr/cms/resource/59/2922959_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/59/2922959_image3_1.jpg,Type3,31,29,41,650,FD,FD05,FD050100,A05,A0502,A05020900,경기도 포천시 산정호수로 849-130,,11103,127.3204639940,38.0747984765,6,"가비가배는 포천시 영북면 산정호수로에 있는 한옥 카페이다. 한옥에 앉아 명성산 절벽뷰와 산정호수뷰를 동시에 느낄수 있는 카페로 전망이 훌륭하다. 테라스가 넓은데 이곳은 반려동물을 동반할 수 있다. 내부는 넓은 공간에 고풍스러운 가구들이 많이 전시되어 있다. 전망은 2층이 더 좋다. 별채는 한옥에 들어 온 느낌이 확연하다. 본관과 별관이 전혀 다른 분위기이다. 메뉴는 커피류, 음료류, 차류를 판매하고 있으며 음료와 어울리는 디저트 케이크도 즐길 수 있다. 주차는 넓은 전용 주차장이 있어 이용이 편리하다.
※반려동물 동반 가능 (야외테라스만)"
2752670,28,가산낚시터 (구 우금저수지),20211005184038,20250819092635,,,,http://tong.visitkorea.or.kr/cms/resource/15/2752815_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/2752815_image2_1.jpg,Type3,31,29,41,650,LS,LS02,LS020500,A03,A0303,A03030500,경기도 포천시 가산면 우금길 13-32,,11166,127.2126089189,37.8253839198,6,"약 191,735㎡ (58,000여 평)의 대형 저수지로 1급 수준의 청정수질을 자랑한다. <br> 만수 시에는 수심이 4~5m에 이르고 낚시터에서 왕방산을 바라보는 아름다운 풍광이 특징이다."
2891928,39,가야밀면돼지국밥 일산본점,20221031162731,20250423132516,,,,http://tong.visitkorea.or.kr/cms/resource/13/2891913_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/13/2891913_image3_1.jpg,Type3,31,2,41,287,FD,FD01,FD010100,A05,A0502,A05020100,경기도 고양시 일산서구 호수로856번길 8-9 (대화동),,10383,126.7486418310,37.6708852204,6,"가야밀면돼지국밥 일산본점은 일산 대화동 킨텍스 건너편에 있는 밀면, 돼지국밥 맛집이다. 가게 앞에 3~4대 정도의 주차 공간이 있다. 본관 옆에 신관 건물도 있어서 둘 중 편한 곳으로 자리 잡으면 된다. 이곳은 밀면이 유명하지만, 돼지국밥이나 고기국수도 맛있다. 밀면을 주문하면 굵고 쫄깃한 면발 위에 정성스럽게 달인 육수를 붓고 양념장을 얹어 준다. 돼지국밥은 약재를 넣어 끓여서 냄새가 나지 않고 고기를 듬뿍 얹어 준다. 국밥이 뜨거울 때 부추를 넣고 기호에 맞게 청양고추를 넣어 먹으면 된다."
2875310,39,가월리손두부,20221026095144,20250729111937,,,,http://tong.visitkorea.or.kr/cms/resource/98/2875298_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/98/2875298_image3_1.jpg,Type3,31,27,41,480,FD,FD01,FD010100,A05,A0502,A05020100,경기도 파주시 적성면 감악산로 1473,,10802,126.9207117917,37.9772303573,6,"가월리손두부는 두부와 콩으로 만들어낸 음식을 맛볼 수 있는 두부요리 전문점이다. 모두 직접 만든 두부로 음식을 만든다. 두부와 버섯을 듬뿍 넣은 두부전골은 새우젓으로 간을 하여 칼칼하면서도 짭조름한 국물맛을 느낄 수 있다. 양념간장을 곁들여 먹는 옛날 순두부와 여름 특선메뉴인 콩국수도 있으며, 콩물과 콩탕은 포장만 가능하다."
2738718,28,가족쉼터,20210901200909,20250513155541,,,,http://tong.visitkorea.or.kr/cms/resource/41/2739041_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/41/2739041_image3_1.JPG,Type3,31,9,41,360,AC,AC05,AC050100,A03,A0302,A03021700,경기도 남양주시 수동면 비룡로 1603,,12024,127.2736720245,37.7559681143,6,"경기도 남양주의 몽골문화촌 가족쉼터 캠핑장은 남양주시에서 운영하는 캠핑장이다. 수동면에 위치한 수동천 좌우에 형성되었으며, 일반 야영장과 오토 캠핑장으로 구성되어 있다. 당일 이용과 숙박이 가능한 야영장이며 전기 이용이 가능하다. 수동계곡 바로 옆에 위치해 울창한 숲속에서 대자연의 신비로움을 만끽할 수 있다."
2874859,39,가츠잇,20221025143419,20250422150400,,,,http://tong.visitkorea.or.kr/cms/resource/57/2874857_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/57/2874857_image3_1.jpg,Type3,31,2,41,285,FD,FD02,FD020200,A05,A0502,A05020300,경기도 고양시 일산동구 경의로 459-112 (정발산동),,10406,126.7857412479,37.6698221165,6,"경기도 고양시 밤리단길에 위치한 가츠잇은 일본식 돈가츠 전문점이다. 가츠잇은 100% 국내산 생고기만 사용하며 고기를 두드리지 않는다. 대신 이곳에서 개발한 채소와 과일을 사용한 숙성방법으로 만들어 느끼하지 않고 육즙과 고기의 식감이 살아있다. 메뉴는 가츠와 덮밥, 우동, 사이드메뉴로 구성되어 있으며, 다양하게 먹고 싶은 경우 세트메뉴를 주문하면 된다. 식사 시간엔 항상 대기가 있는 곳이며, 전 메뉴 포장이 가능하다."
3102216,32,가평 가둘기정원 키즈풀빌라 가족 스파 온수수영장 펜션,20240217153116,20240731101125,,,"<a href=""http://gadulgi.kr/"" target=""_blank"" title=""가평 가둘기정원 키즈풀빌라 가족 스파 온수수영장 펜션(으)로 이동"">http://gadulgi.kr//</a>",,,,,,41,820,AC,AC03,AC030100,B02,B0201,B02010700,경기도 가평군 북면 꽃넘이길 115-82,가둘기정원,12405,127.5163456797,37.9003946501,6,"경기도 가평에 자리한 가둘기정원은 키즈풀빌라 및 가족스파를 운영하는 펜션이다. 객실 규모가 커 가족 단위 손님이 많이 온다. 사계절 온수 수영장이 있어 계절에 상관없이 물놀이를 즐길 수 있고, 바비큐도 할 수 있어서 함께 온 이들과 맛있는 음식을 먹으며 도란도란 추억을 쌓을 수 있다. 키즈풀빌라답게 아이들 용품도 준비가 잘 되어 있다."
2909629,28,가평 네잎클로버 카라반 글램핑,20221116103726,20250410150900,,,"<a href=""https://www.clovercamp.co.kr/""target=""_blank"" title=""새창 : 가평 네잎클로버 카라반 글램핑 사이트로 이동"">https://www.clovercamp.co.kr/</a>",http://tong.visitkorea.or.kr/cms/resource/17/2909617_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/17/2909617_image3_1.JPG,Type3,31,1,41,820,AC,AC05,AC050100,A03,A0302,A03021700,경기도 가평군 장수로 156-20,,12471,127.5086546484,37.6176301595,6,"가평 유명산 아래 방일리 설곡에 있다. 카라반과 글램핑 시설로만 구성되어 있는 리조트형 캠핑장이다. 카라반과 글램핑 모두 주방용품과 침대까지 갖춰져있어 캠핑 용품이 없어도 캠핑 분위기를 편하게 즐길 수 있다. 숙소 앞에는 얕은 계곡이 있어 아이들과 함께한 가족들은 물놀이를 하기에도 좋고, 가볍게 낚시를 즐기는 사람들도 만날 수 있다. 가까운 거리에 양떼목장 등 여행지가 있어 가족단위로 즐기기에 좋다.
※ 반려동물 동반불가"
2361081,28,가평 레일바이크,20160113005508,20251023144737,,,"공식 홈페이지 <a href=""http://www.gprailpark.com/rail/rail3_01.php""title=""새창: 가평 레일바이크""target=""_blank"">http://www.gprailpark.com/</a><br>공식 인스타그램 <a href=""https://www.instagram.com/railpark/""target=""_blank"" title=""새창 : 강촌레일바이크 이동"">https://www.instagram.com/railpark/</a>",http://tong.visitkorea.or.kr/cms/resource/45/3096245_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/45/3096245_image3_1.jpg,Type1,31,1,41,820,LS,LS01,LS011900,A03,A0302,A03022700,경기도 가평군 가평읍 장터길 14,,12419,127.5158755988,37.8290223933,6,"가평 레일바이크는 가평역을 출발해 북한강 철교, 계절 따라 그 모습을 달리하는 느티나무터널, 영화 <편지>의 촬영지 경강역에서 회차, 가평역으로 돌아오는 왕복코스다. 북한강을 가로지르는 높이 30m의 아찔한 북한강 철교를 따라 페달을 밟다 보면 한적한 시골마을과, 푸른 빛깔의 아름다운 강변이 번갈아가면서 눈앞에 펼쳐진다. 레일바이크는 일반 자전거와 달리 차체가 무거워 안전사고에 유의해야 하는데 승차정원을 초과하여 탑승할 수 없으며 레일바이크 운행 중 급정지, 무단하차, 옆사람과의 장난은 삼가야 한다. 그리고 레일바이크 운행 중 음주나 흡연은 금지되며 하차할 때에는 완전히 정차한 후에 내려야 한다."
2763412,28,가평 물골숲 계곡 캠핑장,20211027185741,20250327112608,,,"<a href=""http://cafe.naver.com/mulgolcamping/"" target=""_blank"" title=""새창 : 가평 물골숲 계곡 캠핑장 사이트로 이동"">http://cafe.naver.com/mulgolcamping/</a>",http://tong.visitkorea.or.kr/cms/resource/30/2763630_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/30/2763630_image2_1.JPG,Type3,31,1,41,820,AC,AC05,AC050100,A03,A0302,A03021700,경기도 가평군 상면 물골길 120,,12440,127.3143381914,37.8368094476,6,"가평 물골숲 계곡 캠핑장은 가평군 상면 운악산과 아차산 사이 깊은 계곡에 위치하고 있다. 녹음 짙은 숲과 물 맑은 계곡을 품고 있어 힐링을 추구하는 캠퍼들에게 인기가 높다. 캠핑장 일부 사이트는 그늘 좋은 계곡과 잣나무 향이 향기로운 전나무 아래 사이트가 구성되어 있어 경쟁률이 치열하다. 단, 사이트 전체를 단체 1팀에게 대여하지는 않는다. 대형 사이트 피칭은 불가능하여 호젓한 미니멀 캠핑을 즐기는 2인 이하 캠핑족들에게 적합한 캠핑장이다. 사이트는 부드러운 황토 위에 파쇄석으로 도포되어 있다. 전기 및 소화기 등의 안전시설 상태가 좋고 와이파이, 공용 샤워실 및 공용 개수대, 공용 화장실 등 공용시설이 잘 갖춰져 있으며 반려견 출입도 가능하다. 관리실은 매점과 같이 운영하며 캠핑에 필요한 다양한 용품을 판매 중이다. 가평시설관리공단이 운영하는 이곳은 특히 시설을 잘 관리하여 단골 이용객이 많은 캠핑장이다."
