contentid,contenttypeid,heritage1,heritage2,heritage3,infocenter,opendate,restdate,expguide,expagerange,accomcount,useseason,usetime,parking,chkbabycarriage,chkpet,chkcreditcard
2818337,32,,,,,,,,,,,,,,,
2744492,14,,,,,,,,,,,,,,,
3018653,12,0,0,0,031-964-3057,,연중무휴,치즈만들기 / 피자만들기 / 동물먹이주기 등,,,,10:30~17:00,가능,,,
3449335,12,0,0,0,02-3159-9996,,"매주 토,일요일 휴무",,,,,월-금 09:00 - 21:00,,,,
129874,14,,,,,,,,,,,,,,,
2732164,12,0,0,0,031-909-9000,2026-03-04,매주 월요일 / 1월 1일 / 설·추석 연휴,씨앗기후환경교육 / 기후환경교육 / 해설이 있는 자연환경 체험 등,,,,- 3월~10월 09:00~18:00- 11월~2월 10:00~17:00,가능,없음,,
3451580,14,,,,,,,,,,,,,,,
1694495,14,,,,,,,,,,,,,,,
130221,14,,,,,,,,,,,,,,,
2892126,14,,,,,,,,,,,,,,,
2551413,14,,,,,,,,,,,,,,,
3018586,28,,,,,,,,,,,,,,,
530450,15,,,,,,,,,,,,,,,
250395,12,0,0,0,고양특례시청 문화예술과 031-8075-3389~90,1984-03-19,※ 내부 관람 불가 하며 외부만 관람 가능,,,,,※ 내부 관람 불가 하며 외부만 관람 가능,가능,,,
1100492,15,,,,,,,,,,,,,,,
2873148,39,,,,,,,,,,,,,,,
3018184,28,,,,,,,,,,,,,,,
2783633,39,,,,,,,,,,,,,,,
2867755,39,,,,,,,,,,,,,,,
2770770,39,,,,,,,,,,,,,,,
2853652,39,,,,,,,,,,,,,,,
2854752,39,,,,,,,,,,,,,,,
2999501,12,0,0,0,의정부시 도시정원과 031-828-4620,,연중무휴,,,,,상시 개방,가능,,,
129549,12,0,0,0,031-550-2586,,"매주 월요일 / 1월 1일 / 설·추석 당일 (단, 휴관일이 공휴일인 경우 다음날 휴관)",,,,,[동절기(11월~2월)] - 10:00~17:00 (입장 마감 17:00)[하절기(3월-10월)]- 10:00~18:00 (입장 마감 16:30),가능,없음,,
3011031,14,,,,,,,,,,,,,,,
2910258,38,,,,,,,,,,,,,,,
2916173,38,,,,,,,,,,,,,,,
4011884,38,,,,,,,,,,,,,,,
4025290,38,,,,,,,,,,,,,,,
4025336,38,,,,,,,,,,,,,,,
2773838,39,,,,,,,,,,,,,,,
2923766,38,,,,,,,,,,,,,,,
2923187,38,,,,,,,,,,,,,,,
2912996,38,,,,,,,,,,,,,,,
2868410,39,,,,,,,,,,,,,,,
2836040,39,,,,,,,,,,,,,,,
2852976,39,,,,,,,,,,,,,,,
2848975,39,,,,,,,,,,,,,,,
2568681,12,0,0,0,덕양구 환경녹지과 031-8075-5253,,연중무휴,,,,,상시 개방,가능,,,
3032487,12,0,0,0,임진각 관광안내소 031-953-4744,,연중무휴,,,,,상시 개방,,,,
2622230,32,,,,,,,,,,,,,,,
2785765,25,,,,,,,,,,,,,,,
125455,12,0,0,0,031-538-3341,,연중무휴,,전 연령,,,상시 개방,,없음,,없음
753747,12,0,0,0,구리시청 공원녹지과 031-550-2418,2002년 3월 2일,연중무휴,,,,,상시 개방,불가능,,,
615484,39,,,,,,,,,,,,,,,
2638583,28,,,,,,,,,,,,,,,
2869033,39,,,,,,,,,,,,,,,
2860358,39,,,,,,,,,,,,,,,
2569477,12,0,0,0,포천 한탄강지질공원센터 031-538-3030,,연중무휴,,,,,상시 개방,가능,없음,,
128301,12,0,0,0,031-534-5211,2005년,연중무휴,전통 고추장 만들기 / 우리 쌀 클레이 / 전통놀이체험 / 오디 수확 등,,,,,가능<br>요금 (무료),없음,,없음
2569510,12,0,0,0,파주시청 산림정원과 031-940-4611,,연중무휴,,,,,상시 개방,,,,
1795686,39,,,,,,,,,,,,,,,
2764911,12,0,0,0,파주시청 도시관리과 031-940-5367,,연중무휴,,,,,상시 개방,가능,,,
1624773,12,0,0,0,031-940-5831,,,지방 향교 육성,프로그램에 따라 상이,,,내부 관람 시 사전 문의,가능,,,
2765627,39,,,,,,,,,,,,,,,
2569475,12,0,0,0,031-538-2312,,연중 무휴,,,,,상시 개방,,없음,,
1756512,38,,,,,,,,,,,,,,,
125545,12,1,0,0,031-579-4900,,"매주 월요일 (단, 정기휴일이 공휴일 및 대체공휴일과 겹칠 경우에는 개방하며, 그 다음의 첫 번째 비공휴일이 정기휴일임)",,,,,[2월~5월]- 06:00~18:00 (입장 마감 17:00)[6월~8월]- 06:00~18:30 (입장 마감 17:30)[9월~10월]- 06:00~18:00 (입장 마감 17:00)[11월~1월] - 06:30~17:30 (입장 마감 16:30),가능,,,
3563531,15,,,,,,,,,,,,,,,
2767677,12,0,0,0,031-557-6000,2009년11월 준공,연중무휴,,,,,[축구장]- 새벽 06:00~07:00- 주간 07:00~19:00- 야간 19:00~22:00[풋살장]- 새벽 06:00~07:00- 주간 07:00~19:00- 야간 19:00~22:00[테니스장]- 새벽 06:00~07:00- 주간 07:00~19:00- 야간 19:00~22:00,가능,,,
2462631,12,0,0,0,031-550-2880,,"매주 토요일, 일요일 / 공휴일",,,10~40명 (주로 단체 견학),,10:00~17:00 (점심시간 12:00~13:00),가능,없음,,없음
622946,15,,,,,,,,,,,,,,,
129865,14,,,,,,,,,,,,,,,
3426935,12,0,0,0,031-580-7934,,,,,,,"월 09:00-18:00
    12:00-13:00 휴게시간
화 09:00-18:00
    12:00-13:00 휴게시간
수 09:00-18:00
    12:00-13:00 휴게시간
목 09:00-18:00
    12:00-13:00 휴게시간
금 09:00-18:00
    12:00-13:00 휴게시간
토 09:00-18:00
    12:00-13:00 휴게시간",,,,
2855658,39,,,,,,,,,,,,,,,
3007378,14,,,,,,,,,,,,,,,
753768,12,0,0,0,구리시청 공원녹지과 031-550-2045,2003년 6월 30일,연중무휴,,,,,상시 개방,가능,,,
3090931,38,,,,,,,,,,,,,,,
129554,12,0,0,0,031-550-2880,,연중무휴,,,,,09:00~23:00,가능,불가,,
228874,12,0,0,0,구리시청 공원녹지과 031-550-2472,,연중무휴,,,,,[공원]상시 개방[가족힐링 캠핑장]- 1월~5월 10:00~18:00- 6월~9월 09:00~21:00- 10월~12월 10:00~18:00※ 가족힐링 캠핑장의 경우 선착순 이용,가능 (약 800여 대),,,
2852445,39,,,,,,,,,,,,,,,
2876980,39,,,,,,,,,,,,,,,
2873131,39,,,,,,,,,,,,,,,
2915293,38,,,,,,,,,,,,,,,
2911516,38,,,,,,,,,,,,,,,
2918499,38,,,,,,,,,,,,,,,
2918562,38,,,,,,,,,,,,,,,
298098,12,0,0,0,02-387-0743,,연중무휴,,,,,09:00~18:00,가능,없음,,
407234,12,0,0,0,031-534-6330,2007년,매주 화요일,,,,,"[일일입장] 09:00~18:00<br>
[숙박시설]<br>
- 입실 15:00<br>
- 퇴실 11:00<br>",가능,,,가능
125409,12,0,0,0,031-589-5487,1989년,매주 화요일,숲속체험 프로그램 / 목재문화체험교실 프로그램,,"3,000명",,"[일일개장] 09:00~18:00<br>
[숙박시설]<br>
- 객실 입실 15:00~22:00 / 야영시설 입실 14:00~22:00<br>
- 퇴실 11:00",가능,,,
2986395,14,,,,,,,,,,,,,,,
3392763,14,,,,,,,,,,,,,,,
2738515,14,,,,,,,,,,,,,,,
127497,12,0,0,0,031-540-2000,,"매주 월요일 / 1월 1일 / 설·추석 연휴 / 1, 2, 12월 매주 일요일",,,,,[하절기(4~10월)]09:00~18:00 (입장 마감 17:00)[동절기(11~3월)]09:00~17:00 (입장 마감 16:00),가능,없음,,가능
130187,14,,,,,,,,,,,,,,,
2712562,12,0,0,0,031-871-2796,,매주 화요일,"숲해설 (숲해설 및 아세안투어) / 목공예체험 (쭈온쭈온 잠자리, 연필통만들기) / 아세안전통의상체험 등<br>
※ 자세한 안내는 홈페이지 참조",,,,"- 휴양림 09:00~18:00<br>
- 숙박시설 15:00~익일 11:00",,없음,,없음
130963,14,,,,,,,,,,,,,,,
125464,12,0,0,0,031-532-0014,1999년 7월 1일,연중무휴,,,,,"[일반] <br>
- 08:00~18:00<br>
[캠핑장] <br>
- 입실 12:30<br>
- 퇴실 12:00<br>
[통나무집]<br>
- 입실 14:00<br>
- 퇴실 11:00<br>
※ 자세한 사항은 홈페이지 참조 또는 전화 문의 요망",가능,,,
2826917,39,,,,,,,,,,,,,,,
3085172,12,0,0,0,031-336-7170,,연중무휴,,,,,,가능,,,
1541165,12,0,0,0,연천군청 관광과 031-839-2061,,연중무휴,,,,,07:00~23:00,가능,불가,,
2867756,39,,,,,,,,,,,,,,,
2772319,39,,,,,,,,,,,,,,,
3013816,12,0,0,0,"궁집 031-590-8454
남양주시청 관광유산과 031-590-2146",,매주 월요일,"옹주의 뜨락, 마음이 머무는 시간 / 옹주의 푸르른 초대 / 옹주의 향기로운 초대 등",,,,[3월~10월]- 09:00~18:00[11월~2월]- 09:00~17:00,불가능,,,
2838537,39,,,,,,,,,,,,,,,
403215,39,,,,,,,,,,,,,,,
125547,12,0,0,0,양주시 문화관광과 031-8082-5670,,연중무휴,,,,,,,없음,,
125482,12,0,0,0,가평군청 산림과 031-580-2486,,연중무휴,,,,,상시 개방,,,,
2851776,39,,,,,,,,,,,,,,,
3447080,39,,,,,,,,,,,,,,,
2754270,12,0,0,0,031-826-4544,여름 하절기(7~8월),설·추석 연휴,,,,,09:00~17:30,가능,없음,,가능
3306736,38,,,,,,,,,,,,,,,
2841299,12,0,0,0,연천군청 관광과 031-839-2061,2016-04-23,연중무휴,,,,,상시 개방,가능,,,
2854761,39,,,,,,,,,,,,,,,
3018583,32,,,,,,,,,,,,,,,
685661,32,,,,,,,,,,,,,,,
2836533,39,,,,,,,,,,,,,,,
2763880,12,0,0,0,0507-1379-1138,,,,,,,,,없음,,없음
2930403,38,,,,,,,,,,,,,,,
2852866,39,,,,,,,,,,,,,,,
2854581,39,,,,,,,,,,,,,,,
2852890,39,,,,,,,,,,,,,,,
4011880,38,,,,,,,,,,,,,,,
3305654,38,,,,,,,,,,,,,,,
2783673,39,,,,,,,,,,,,,,,
802310,39,,,,,,,,,,,,,,,
2893567,39,,,,,,,,,,,,,,,
2831015,39,,,,,,,,,,,,,,,
127569,12,0,0,0,포천시청 산림공원과 031-538-3342,,연중무휴,,,,,상시 개방,,,,
2781629,39,,,,,,,,,,,,,,,
131995,38,,,,,,,,,,,,,,,
4011929,38,,,,,,,,,,,,,,,
2789409,39,,,,,,,,,,,,,,,
3407913,12,0,0,0,양주시청 관광진흥팀 031-8082-5662,,연중무휴,,,,,상시 개방,가능,,,
2854767,39,,,,,,,,,,,,,,,
133834,39,,,,,,,,,,,,,,,
3519842,12,0,0,0,02-719-4298,,연중무휴,,,,,상시 개방,가능,,,
2873448,39,,,,,,,,,,,,,,,
2873488,39,,,,,,,,,,,,,,,
2877273,39,,,,,,,,,,,,,,,
2777870,12,0,0,0,010-3254-5155,,연중무휴,,,,,상시 개방,가능,,,
4011021,38,,,,,,,,,,,,,,,
2904374,39,,,,,,,,,,,,,,,
2808933,39,,,,,,,,,,,,,,,
2822822,39,,,,,,,,,,,,,,,
2847337,39,,,,,,,,,,,,,,,
2746651,39,,,,,,,,,,,,,,,
2844407,39,,,,,,,,,,,,,,,
2595494,32,,,,,,,,,,,,,,,
2863188,39,,,,,,,,,,,,,,,
3075859,12,0,0,0,0507-1318-6273,,매주 월요일 정기 휴무,"주말 가족체험
- 소개 : 꽃을 테마로한 3가지 메인체험과 공통자유농장체험 진행
- 체험시간 : 2시간 20분(1일 3회 운영)
- 공통자유농장체험 : 토끼 먹이주기 / 꽃 얼음깨기 / 당근심기 / 첨벙물놀이터(낚시놀이) / 모래놀이 / 미니 트랙터 / 꽃밭에 물주기 / 해먹 / 링 던지기 / 트램폴린 등
*계절에 따라 달라지는 메인 체험 내용은 공지사항 확인",전연령,,,주중 10:00~16:00주말 10:00~18:00,가능,,,가능
2867587,39,,,,,,,,,,,,,,,
2763795,12,0,0,0,031-581-0515,,연중무휴,,,,,"- 봄/여름 10:00~18:00<br>
- 가을/겨울 10:00~17:00<br>
- 어린이날 10:00~19:00",가능,없음,,없음
3018670,12,0,0,0,0507-1327-3207,,연중무휴,쿠키 만들기 / 머그컵 그리기,,,,10:00~17:00,가능,,,
2862574,39,,,,,,,,,,,,,,,
2770963,12,0,0,0,031-533-7777,,평일 / 동절기 (12월초~2월말),,,,,10:00~18:00,가능,없음,,없음
3080224,12,0,0,0,0507-1391-0011,,매주 월요일~금요일,동물 먹이 주기 체험 / 계절별 농작물 수확체험 등,,,,주말 및 공휴일 10:00~18:00,가능,없음,,
2670558,12,0,0,0,0507-1321-7240,,매주 주말,,,,,09:00~20:00,불가능,,,
129553,12,0,0,0,구리시청 문화예술과 031-550-2546,,연중무휴,,,,,상시 개방,불가능,,,
2835753,39,,,,,,,,,,,,,,,
2736382,39,,,,,,,,,,,,,,,
4011949,38,,,,,,,,,,,,,,,
2907203,38,,,,,,,,,,,,,,,
4010624,38,,,,,,,,,,,,,,,
2924058,38,,,,,,,,,,,,,,,
2918734,38,,,,,,,,,,,,,,,
4026333,38,,,,,,,,,,,,,,,
2904989,38,,,,,,,,,,,,,,,
2930937,38,,,,,,,,,,,,,,,
2830897,39,,,,,,,,,,,,,,,
3014110,39,,,,,,,,,,,,,,,
2864268,39,,,,,,,,,,,,,,,
2927213,38,,,,,,,,,,,,,,,
816273,39,,,,,,,,,,,,,,,
1060264,14,,,,,,,,,,,,,,,
125546,12,1,0,0,031-527-7105,,"매주 월요일<br>※ 단, 월요일이 공휴일인 경우 개방하며, 그 다음 첫 번째 평일에 휴관",,,,,"[2월~5월] 09:00~18:00 (입장마감 17:00)<br>
[6월~8월] 09:00~18:30 (입장마감 17:30)<br>
[9~10월] 09:00~18:00 (입장마감 17:00)<br>
[11월~1월] 09:00~17:30 (입장마감 16:30)",가능,없음,,
976598,12,0,0,0,031-590-4721,,연중무휴,,,,,상시 개방,불가능,없음,,없음
250408,12,1,0,0,031-573-8124,,"매주 월요일※ 단, 월요일이 공휴일인 경우 개방하며, 그 다음의 첫 번째 비공휴일이 정기휴일임",,,,,[2월~5월]- 09:00~18:00- 입장 마감 17:00[6월~8월]- 09:00~18:30- 입장 마감 17:30[9월~10월]- 09:00~18:00- 입장 마감 17:00[11월~1월]- 09:00~17:30- 입장 마감 16:30,가능,없음,,
2507011,14,,,,,,,,,,,,,,,
125548,12,1,0,0,031-591-7043,,"매주 월요일※ 단, 월요일이 공휴일인 경우 개방하며, 그 다음의 첫 번째 비공휴일이 정기휴일임",,,,,09:00~18:00 (입장마감 17:00),가능,없음,,
129868,14,,,,,,,,,,,,,,,
3013742,28,,,,,,,,,,,,,,,
1936797,14,,,,,,,,,,,,,,,
1030473,28,,,,,,,,,,,,,,,
2733839,12,0,0,0,남양주시 하천공원관리과 031-590-8636,연중,연중무휴,,,,,상시 개방,가능,,,
1213982,39,,,,,,,,,,,,,,,
3533006,32,,,,,,,,,,,,,,,
2852432,39,,,,,,,,,,,,,,,
3416148,32,,,,,,,,,,,,,,,
2605334,28,,,,,,,,,,,,,,,
2772347,12,0,0,0,포천시청 관광정책팀 031-538-4009,,연중무휴,,,,,상시 개방,가능,,,
2854773,39,,,,,,,,,,,,,,,
2877416,39,,,,,,,,,,,,,,,
2746693,39,,,,,,,,,,,,,,,
2923219,38,,,,,,,,,,,,,,,
2928860,38,,,,,,,,,,,,,,,
2923398,38,,,,,,,,,,,,,,,
2906644,38,,,,,,,,,,,,,,,
4012029,38,,,,,,,,,,,,,,,
2853710,39,,,,,,,,,,,,,,,
2831039,39,,,,,,,,,,,,,,,
403596,39,,,,,,,,,,,,,,,
2757569,12,0,0,0,031-944-2666,,연중무휴,,,,,상시 개방,가능 (약 소형 150대 / 대형 50대),,,
2830017,39,,,,,,,,,,,,,,,
2826890,39,,,,,,,,,,,,,,,
3534237,28,,,,,,,,,,,,,,,
2915668,38,,,,,,,,,,,,,,,
4025313,38,,,,,,,,,,,,,,,
2924210,38,,,,,,,,,,,,,,,
4025129,38,,,,,,,,,,,,,,,
2925752,38,,,,,,,,,,,,,,,
1955869,12,0,0,0,문화예술과 031-828-4334,,연중무휴,,,,,"- 외부 : 상시 개방<br>
- 내부 : 의정부시 문화예술과로 사전 연락 후 협의 필요",가능,,,
3006199,14,,,,,,,,,,,,,,,
4025044,38,,,,,,,,,,,,,,,
4010549,38,,,,,,,,,,,,,,,
